song_artist,song_name
alice cooper,make that money (scrooge's song)
imagine dragons,walking the wire
shovels & rope,death or glory
sig ragga,feliz
diana krall,if you could read my mind
xtc,living through another cuba
tricky,feed me
the brand new heavies,put the funk back in it
ballyhoo!,instigator
merle haggard,right or wrong
the marcus king band,opie
the alarm,strength
richard elliot,just a taste
astrud gilberto,who needs forever?
pat benatar,all fired up
the heptones,in love with you
lifehouse,whatever it takes
willie nelson,let me talk to you
fidlar,cheap beer
muddy waters,lonely man blues
eddie cochran,lonely
missy higgins,where i stood
don williams,lone star state of mind
reba mcentire,have i got a deal for you
lee greenwood,god bless america
paul simon,something so right
queensrÿche,walk in the shadows
glen campbell,tomorrow never comes
emmylou harris,son of a rotten gambler
johnny burnette & the rock 'n' roll trio,tear it up
shania twain,crime of the century
the lemonheads,rockin stroll
wishbone ash,time was
elvis presley,it is no secret (what god can do)
willie bobo,dig my feeling
dolly parton,lovesick blues (with patsy cline)
easy star all-stars,getting better (feat. the mighty diamonds)
otis redding,these arms of mine
merle haggard,sing me back home
donovan,the sun is a very magic fellow
yg,bpt
jason aldean,lonesome usa
johnny cash,luther played the boogie
heavy d,imagine that
robert randolph & the family band,i need more love
needtobreathe,let's stay home tonight
elvis presley,hawaiian wedding song
gota,in the city life
new edition,boys to men
anthrax,indians
shinehead,keep on
james taylor quartet,stepping into my life
i-octane,unfair games (feat. yanique)
bounty killer,see you no more (2004)
aaron lewis,sinner
dolly parton,randy
keith urban,the fighter
soja,life support
"peter, paul and mary",boa constrictor
ziggy marley,shalom salaam
the mad lads,gone! the promises of yesterday
granger smith,oxygen
action bronson,baby blue (feat. chance the rapper)
b.b. king,i just can't leave your love alone
the box tops,trains & boats & planes
neanderthal youth,thrift shop hip hop
the derek trucks band,revolution
jimmy cliff,love solution
keb' mo',prosperity blues
widespread panic,mercy
björk,human behaviour
midland,this old heart
"bobby ""blue"" bland",members only
rhett miller,our love
counting crows,colorblind
louis armstrong,in the shade of the old apple tree
average white band,a love of your own
the mills brothers,tiger rag
faith hill,if i should fall behind
blackberry smoke,good one comin' on
the clash,julie's been working for the drug squad
nightmares on wax,the sweetest
beastie boys,jimmy james
steve winwood,while you see a chance
drake,paris morton music
barenaked ladies,who needs sleep?
herbie hancock,and what if i don't know
baron samedi,hip hop
montrose,all i need
louis jordan & his tympany five,"jack, you're dead!"
andy williams,dear heart
ten years after,the stomp
waylon jennings,this time tomorrow (i'll be gone)
ty segall,manipulator
jimmy eat world,hear you me
eagles,tequila sunrise
johnny cash,w-o-m-a-n
ub40,now and then
calvin harris,summer
depeche mode,condemnation
the spits,tonight
blackfoot,livin' in the limelight
emmylou harris,millworker
"blood, sweat & tears",lonesome suzie
black rob,pd world tour (feat. puff daddy)
warren zevon,"lawyers, guns and money"
ben tankard,going up yonder
tony bennett,the bare necessities
prince,diamonds and pearls
badfinger,lost inside your love
jefferson airplane,young girl sunday blues
katastro,flashbacks
the brothers four,the damsel's lament (i never will marry)
robben ford,the inside story
tribal seeds,i'll return again
"bonnie ""prince"" billy",death to everyone
marah,counting the days
diddy,all about the benjamins
the cadillacs,wishing well
dzihan & kamien,drophere
ice-t,new jack hustler (nino's theme)
thad jones,big dipper
rod stewart,stay with me
alan jackson,hole in the wall
ariana grande,side to side
the notting hillbillies,will you miss me
u2,mothers of the disappeared
gaither vocal band,i believe in a hill called mount calvary
selena gomez,shake it up
journey,feeling that way
ziggy marley & the melody makers,gone away
the connells,something to say
ty segall,radio
cody jinks,a memory and a dream
tracy lawrence,i'm over you
demarco,she cant wait
machine gun kelly,trap paris
frankie paul,hold me
the notorious b.i.g.,just playing (dreams)
big daddy kane,"young, gifted and black"
shirley horn,don't be on the outside
lucinda williams,lonely girls
little eva,uptown
chick webb,rhythm and romance
megadeth,my creation
suicidal tendencies,i shot the devil
ryan stevenson,with lifted hands
mavado,progress
dionne warwick,walk on by
labi siffre,watch me
the j. geils band,pack fair and square
ariana grande,fake smile
311,simple true
fantastic negrito,an honest man
meshuggah,suffer in truth
current swell,marsha
america,special girl
nashville cast,ho hey
nancy wilson,for once in my life
small faces,runaway
rod stewart,the first cut is the deepest
the oak ridge boys,heart of mine
captain beyond,thousand days of yesterdays
nitty gritty dirt band,corduroy road
johnny cash,rose of my heart
enuff z'nuff,i could never be without you
shirley bassey,life goes on
black flag,beat my head against the wall
patty loveless,the lonely side of love
311,two drops in the ocean
shenandoah,two dozen roses
jackyl,i stand alone
the byrds,lay down your weary tune
mott the hoople,crash street kids
wire,fragile
robert plant,the greatest gift
merle haggard,my life's been a pleasure
morphine,the only one
bts,not today
bee gees,night fever
sun ra,makeup
stitchie,fast & pray
bonnie raitt,bye bye baby
the partridge family,summer days
sugarland,tonight
lil wayne,a milli
flogging molly,salty dog
patti austin,gettin' away with murder
frankie laine,i feel like my time ain't long
t-bone walker,you don't love me
soccer mommy,your dog
b.b. king,ain't that just like a woman
grandson,6:00
maddie & tae,die from a broken heart
eek-a-mouse,black cowboy
drivin n cryin,keys to me
carole king,where you lead
kenny chesney,no small miracle
linda ronstadt,mohammed's radio
devo,(i can't get no) satisfaction
prince far 1,shadow
coldplay,white shadows
primus,dmv
stephen marley,the mission
merl saunders,lonely avenue
carpenters,there's a kind of hush
tobymac,speak life
paul simon,armistice day
korn,dead bodies everywhere
the supremes,come see about me
the soft boys,over you
susumu yokota,blue sky and yellow sunflower
alice cooper,zorro's ascent
aretha franklin,he will wash you white as snow
three dog night,play something sweet (brickyard blues)
chris ledoux,dallas days and fort worth nights
brenda lee,my whole world is falling down
andy williams,your song
groove armada,suntoucher
peter gabriel,modern love
del shannon,the search
alice cooper,public animal #9
green day,the grouch
townes van zandt,dead flowers
epmd,so wat cha sayin'
the tractors,settin' the woods on fire
pink floyd,money
gina sicilia,they never pay me
vanilla ice,ice ice baby (re-recorded version)
the police,can't stand losing you
nick colionne,high flyin'
anderson east,without you
gaither vocal band,"sweet, sweet spirit"
future,turn on the lights
donna summer,autumn changes
barry manilow,memory
drake,marvins room
old crow medicine show,tear it down
gladys knight & the pips,make yours a happy home
kenny wayne shepherd,blue on black
roberto roena y su apollo sound,guaguancó del adios
stereolab,french disko
mighty diamonds,heartbreaker
meshuggah,paralyzing ignorance
limp bizkit,nobody like you
koko taylor,i don't care who knows
taylor swift,bad blood
ray price,i can't help it
muse,take a bow
faith hill,fireflies
three days grace,chalk outline
aretha franklin,sweet lover
andy grammer,wish you pain
bob dylan,my back pages
breaking benjamin,red cold river
george jones,he made me free
tyler bryant & the shakedown,loaded dice & buried money
boz scaggs,another day (another letter)
dwight yoakam,fast as you
lil b,hip hop
tim mcgraw,here tonight
morgan heritage,take up your cross
robert glasper experiment,cherish the day
merle haggard,keep me from cryin' today
carole king,the ballad of chicken soup
queens of the stone age,someone's in the wolf
lynn anderson,you're my man
joe cocker,can't find my way home
michael jackson,take me back
old 97's,lonely holiday
stone senses,wash away
champion jack dupree,ain't that a shame
diana krall,let's fall in love
sublime,one cup of coffee / judge not
uncle tupelo,sandusky
keyshia cole,fallin' out
marty robbins,return to me
jack jones,lady
phantogram,don't move
the allman brothers band,can't take it with you
snoop dogg,"ain't no fun (if the homies cant have none) (feat. nate dogg, warren g & kurupt)"
the monkees,(theme from) the monkees
trace adkins,marry for money
renaissance,on the frontier
falling in reverse,i'm not a vampire
james gang,do it (the way you do it)
bruce cockburn,incandescent blue
gordon lightfoot,cold on the shoulder
ahmad jamal,easy to love
curtis salgado,i want my dog to live longer (the greatest wish)
michael jackson,remember the time
alannah myles,lover of mine
nick lowe,i love my label
radio birdman,hand of law
the bellamy brothers,strong weakness
maple syrup,jakarta
mickey gilley,true love ways
nai palm,homebody
dan fogelberg,sutter's mill
howlin' wolf,moanin' at midnight
waylon jennings,precious memories
beyoncé,diva
chet baker,if i should lose you
fats domino,i'm ready
santana,once it's gotcha
aaron watson,trying like the devil
xscape,the arms of the one who loves you
george strait,stay out of my arms
ricky skaggs,little cabin home on the hill
sammy dread,bad company
bobby vinton,i'll never smile again
talking heads,mind
harry james,"it's been a long, long time"
jon pardi,write you a song
aaron shust,my savior my god
don philippe,the world connects
sublime,q-ball
nine inch nails,hurt (quiet)
traffic,tragic magic
cake,sad songs and waltzes
rob thomas,this is how a heart breaks
the beach boys,disney girls (1957)
zhané,crush
dirty heads,cloudlifter
the marvelettes,happy days
unkle,rabbit in your headlights
john holt,hooligans change your style
mr. scruff,jazz potato
protoje,shot by love
stéphane pompougnac,here is to you
johnny cash,the wreck of the old 97
hiroshima,time on the nile
crazy p,beatbox
queen,somebody to love
violent femmes,jesus walking on the water
hank williams,alone and forsaken
seckond chaynce,undeniable
iration,let me inside
system of a down,36
lefty frizzell,all of me loves all of you
pete rock,rhyme writer
jewel,hands
gene vincent,ready teddy
van halen,inside
the mountain goats,this year
hirie,wise dub
rick springfield,human touch
alan jackson,the one you're waiting on
jimmy reed,close together
sam cooke,jamaica farewell
cody jinks,no time
ajr,break my face
panic! at the disco,this is gospel
ranking joe,spread propaganga
kingspade,who run this
the doobie brothers,one by one
megadeth,five magics
yellowman,blueberry hill
boston,more than a feeling
carol welsman,memories of you
miguel,vixen
third eye blind,deep inside of you
the beau brummels,not too long ago
michael franti & spearhead,skin on the drum
marty stuart,hillbilly rock
dave koz,love is on the way
kendrick lamar,institutionalized
richie spice,black like a tar
iron maiden,invaders
mike & the mechanics,par avion
casting crowns,glorious day (living he loved me)
the flesh eaters,my life to live
gregg allman,faces without names
asha bhosle,awaz deta hai sola ka din
steve miller band,i wanna be loved (but by only you)
love,dream
connie francis,everybody's somebody's fool
gin wigmore,kill of the night
robin trower,it's too late
george strait,he must have really hurt you bad
david byrne,strange overtones
neil sedaka,"happy birthday, sweet sixteen"
the jesus and mary chain,sometimes always
p!nk,get the party started
ritchie valens,my darling is gone
the doors,i can't see your face in my mind
peter tosh,why must i cry
thievery corporation,all that we perceive
kodak black,too many years
jeff williams,red like roses
dolly parton,"turn, turn, turn (to everything there is a season)"
patty loveless,mr. man in the moon
"crosby, stills & nash",raise a voice
cocteau twins,ivo
david axelrod,the signs part i
aerosmith,just push play
chick webb,don't be that way
hank williams,my sweet love ain't around
electric light orchestra,ocean breakup / king of the universe
morgan heritage,reggae bring back love
green day,chump
dan seals,oh these nights
the emotions,a feeling is
jerry vale,all dressed up with a broken heart
haken,pareidolia
3 doors down,life of my own
j. roddy walston & the business,brave man's death
ramsey lewis,ain't that peculiar
smallpools,million bucks
the walkmen,heaven
the moody blues,after you came
vince gill,i quit
foresta,believe
rival sons,hollow bones pt. 1
the flaming lips,race for the prize
damian marley,harder (interlude)
jamie foxx,fall for your type
b.b. king,i was blind
willie nelson,feed it a memory
kenny kirkland,chance
doris day,here in my arms
stevie nicks,blue denim
the black crowes,midnight from the inside out
cannonball adderley,the masquerade is over
lorrie morgan,til a tear becomes a rose
feist,1234
jim croce,"bad, bad leroy brown"
jethro tull,nothing to say
warren g,why oh why
george strait,here for a good time
dolla,addicted to fame
bread,london bridge
blue cheer,rock me baby
walter trout,pray for rain
allen toussaint,goin' down
rascal flatts,i'm movin' on
bessie smith,blue spirit blues
siouxsie and the banshees,spellbound
suzi quatro,devil gate drive
willie nelson,san antonio rose
santana,hope you're feeling better
phish,46 days
the hollies,carrie-anne
charlie farley,concrete dreams (feat. cody davis)
jerry garcia,it's too late
default,deny
sizzla,solid as a rock
duane eddy,boss guitar
young the giant,titus was born
lefty frizzell,treasure untold
jane's addiction,mountain song
cream,we're going wrong
the millennium,i'm with you
julie london,i've got you under my skin
the 1975,i like america & america likes me
jason aldean,rearview town
martina mcbride,how far
the cascades,the last leaf
stonewall jackson,the sadness in a song
johnny cash,pack up your sorrows
queens of the stone age,better living through chemistry
peter tosh,no sympathy
dexter wansel,new beginning
sarah vaughan,you stepped out of a dream
dinah washington,blue gardenia
lefty frizzell,lost love blues (rehearsal session)
miike snow,song for no one
meshuggah,pravus
chris rea,winter song
hanni el khatib,melt me
the cinematic orchestra,all that you give
thee oh sees,keys to the castle
lavern baker,don juan
loretta lynn,the third man
the foundations,"in the bad, bad old days (before you loved me)"
aceyalone,jack of all trades
shawn james & the shapeshifters,son of the wolf
glenn frey,"part of me, part of you"
sarah vaughan,i'm gonna live till i die
aretha franklin,if i should lose you
waylon jennings,we had it all
lonestar,all the way
gary burton,question and answer
easy star all-stars,electioneering
rush,afterimage
conway twitty,pledging my love
dee clark,nobody but you
alabama,if you're gonna play in texas (you gotta have a fiddle in the band)
alice in chains,rooster
bonobo,pieces
santana,the river
the moody blues,eyes of a child i
"royce da 5'9""",bad boy (feat. jungle rock jr.)
krokus,headhunter
rick astley,take me to your heart
boogie down productions,ghetto music
uncle tupelo,black eye
wire,i am the fly
artie shaw,"hop, skip and jump"
the clash,sean flynn
mark ronson,nothing breaks like a heart (feat. miley cyrus)
blackbird hill,to & fros
john lee hooker,that's my story
van halen,d.o.a.
phil collins,i missed again
new found glory,hit or miss
kate bush,the kick inside
mike love,step lightly
"lee ""scratch"" perry",jungle lion
one drop,if you only knew
2pac,soldier like me
oasis,don't look back in anger
ken boothe,is it because i'm black?
rage against the machine,guerrilla radio
aceyalone,feet up on the table
garnett silk,nothing can divide us
george jones,when your house is not a home
hound dog taylor,crossroads
nine inch nails,something i can never have
pennywise,bro hymn
bread,fly away
waka flocka flame,12 (feat. yg hootie)
don gibson,i can't stop lovin' you
dave mason,waitin' on you
nina simone,just in time
richard elliot,moomba
pete rock,take your time
tesseract,smile
hank williams,with tears in my eyes
the animals,bring it on home to me
engelbert humperdinck,quando quando quando
lee greenwood,god bless the u.s.a.
smokey robinson & the miracles,point it out
brooks & dunn,i may never get over you
jimmy durante,old man time
blue rodeo,hasn't hit me yet
ted nugent,sweet sally
frankie paul,worries in the dance
deep purple,love conquers all
cute is what we aim for,the curse of curves
black pistol fire,stripes or keys
blake shelton,god gave me you
chuck berry,that's none of your business
chris knight,heart of stone
the replacements,junior's got a gun
bob marley & the wailers,rastaman chant
epmd,the big payback
dee dee sharp,i sold my heart to the junkman
babyface,tender lover
loggins & messina,you could break my heart
the champs,raunchy
the last goodnight,pictures of you
the mills brothers,opus one
the dillinger escape plan,mouth of ghosts
pat benatar,we belong
traffic,john barleycorn
johnny tillotson,earth angel
bob marley & the wailers,is this love dub
jimmy cliff,i want to know
joe budden,going thru the motions
sam cooke,out in the cold again
dean martin,from lover to loser
ulver,lost in moments
lavern baker,i'll never be free
the beach boys,lana
filmore,heart's having a hard time
bounty killer,can't beat we
dion,900 miles
aaron tippin,for you i will
imagine dragons,the river
freddie mercury,living on my own
jim reeves,you belong to me
dream warriors,wash your face in my sink
hank williams iii,stoned & alone
nat king cole,it's all in the game
marcia griffiths,all my life
the late ones,welcome to the last days
captain beefheart & his magic band,too much time
poco,crazy love
nina simone,you've got to learn
john martyn,go easy
ricky van shelton,statue of a fool
maroon 5,maps
esperanza spalding,touch in mine (fingers)
zac efron,what time is it
jane's addiction,then she did
new order,5-8-6
george duke,speak low
kameleba,si no somos felices
mc5,kick out the jams (original uncensored version)
loggins & messina,good friend
doris day,mean to me
my bloody valentine,nothing much to lose
billy dean,somewhere in my broken heart
hiatus kaiyote,mobius streak
heather victoria,not taking you back (feat. rapsody)
nas,hero
kool moe dee,surviving christmas
the 1975,robbers
lyre le temps,hold the night
wynn stewart,it's such a pretty world today
nina simone,blue prelude
stan getz,i want to be happy
bring me the horizon,run
charlie robison,sunset boulevard
shelley fabares,true love
astrud gilberto,champagne and caviar
the rolling stones,grown up wrong
nickelback,this afternoon
fatoumata diawara,kanou
the pretty things,oh baby doll
tony yayo,pimpin'
whitney houston,count on me
change,tell me why
labi siffre,another year
kenny rogers,we've got tonight
"emerson, lake & palmer",living sin
louis armstrong,bye 'n bye
jean carn,don't let it go to your head
lenny kravitz,sitting on top of the world
jim reeves,the search is ended
upchurch,spotlight
tina turner,i can't stand the rain
alan jackson,'tis so sweet to trust in jesus
xavier rudd,solace
generationals,put a light on
sticky fingers,hell & back
odetta,he's got the whole world in his hands
elton john,when love is dying
the offspring,cool to hate
steel pulse,tightrope
the doors,i looked at you
tony bennett,once upon a time
jack jones,the impossible dream
hmd,ghost stories
lionel hampton,tempo and swing
dave van ronk,"hang me, oh hang me"
the beatles,for no one
van morrison,checkin' it out
green day,kill the dj
the amboy dukes,the great white buffalo
blue öyster cult,unknown tongue
susan tedeschi,the danger zone
slayer,spill the blood
x,nausea
nils,pacific coast highway
dirty heads,day by day
alec benjamin,outrunning karma
chet baker,i get along without you very well (except sometimes)
gil scott-heron,the crutch
kbong,livin' easy (feat. stick figure)
george strait,take me away
upchurch,dirty hat
b.b. king,did you ever love a woman
misfits,london dungeon
jay reatard,fading all away
ella fitzgerald,bess you is my woman now
joe sample,one day i'll fly away
caravan palace,suzy
"hank williams, jr.","lawyers, guns and money"
kings of leon,pyro
shaggy,hope
barrington levy,black roses
bowling for soup,today is gonna be a great day
dead kennedys,nazi punks fuck off
four tops,loco in acapulco
cocteau twins,amelia
rob zombie,return of the phantom stranger
i wayne,can't satisfy her
bettye swann,i'm lonely for you
major lance,the monkey time
burning spear,i stand strong
conway twitty,unchained melody
the hunches,a flower in the ending
godsmack,faceless
colin james,five long years
beres hammond,music is life
red garland,but not for me
aretha franklin,my little brown book
otis redding,(sittin' on) the dock of the bay
l'indécis,the god behind the pines
steve perry,oh sherrie
elvis presley,something blue
singers and players,follower
siouxsie and the banshees,trust in me
"hank williams, jr.",here i am fallin' again
justin bieber,right here
boz scaggs,you can have me anytime
the monkees,look out (here comes tomorrow)
chase rice,whisper
minus 8,bossanova feeling
hiroshima,roomful of mirrors
robin trower,it's for you
bob dylan,shelter from the storm
bring me the horizon,drown
tame impala,beverly laurel
blue six,pure
